game_id,game_name,platform_id,genre_id,release_date,store_id,play_status,game_length,franchise_id,rating
132,Obduction,1,14,8/24/2016,3,3,15,,
133,Octopath Traveler II,3,10,2/24/2023,,1,90,46,
134,Offworld Trading Company,1,18,4/28/2016,3,1,,,
135,Out of the Park Baseball 2016,1,22,3/4/2016,8,6,,47,85
136,Outer Wilds,1,14,6/18/2020,3,1,30,,
137,PC Building Simulator,1,20,1/29/2019,3,3,,,
138,Persona 5 Royal,3,10,3/31/2020,,1,150,48,
139,Pillars of Eternity - Definitive Edition,1,27,11/15/2017,3,1,70,49,
140,Planescape Torment,1,27,4/11/2017,4,1,55,,
141,Pokemon: Black,2,10,3/6/2011,,6,,50,85
142,Portal 2,1,16,4/18/2011,8,2,10,51,70
143,Prey: Digital Deluxe Edition,1,2,6/10/2018,4,1,30,,
144,Prince of Persia,1,15,12/2/2008,4,1,15,52,
145,Prince of Persia The Lost Crown,3,15,1/8/2024,,1,25,52,
146,Prison Architect,1,11,10/6/2015,3,1,,,
147,Rebel Galaxy,1,19,10/20/2015,4,1,35,,
148,Resident Evil 2,4,8,1/5/2019,,1,12,53,
149,Resident Evil 3,4,8,4/3/2020,,1,8,53,
150,Resident Evil Biohazard,4,8,5/24/2017,,1,15,53,
151,Resident Evil Village,4,8,5/7/2021,,1,15,53,
152,Rise of the Tomb Raider,1,2,11/13/2015,8,1,20,72,
153,Roadwarden,1,14,2/1/2023,4,1,15,,
154,Rocket League,1,22,7/7/2015,8,3,,,
155,Rollercoaster Tycoon: Complete Edition,1,11,1/8/2016,3,3,,54,
156,Salt and Sanctuary,1,12,3/15/2016,3,1,20,,
157,Shadow of the Tomb Raider: Definitive Edition,1,9,9/14/2018,3,1,20,72,
158,Shadow Tactics: Aiko's Choice,1,9,12/6/2021,3,1,10,55,
159,Shadow Tactics: Blade of the Shogun,1,9,12/6/2016,4,1,35,55,
160,Shadowrun: Dragonfall,1,27,9/18/2014,3,1,30,56,
161,Shadowrun : Hong Kong Extended Edition,1,27,8/20/2015,4,1,30,56,
162,Shadowrun Returns,1,27,7/25/2013,4,2,15,56,60
163,Shadows: Awakening,1,7,8/31/2018,4,1,30,,
164,Showgunners,1,25,5/2/2023,4,1,20,,
165,Sins of a Solar Empire: Rebellion Ultimate Edition,1,1,6/12/2012,8,1,,57,
166,Skullgirls,1,5,4/10/2012,8,7,,,
167,Skyrim: Legendary Edition,1,27,6/4/2013,8,1,200,65,
168,Sleeping Dogs: Definitive Edition,1,2,10/11/2014,8,2,35,,80
169,Sniper Ghost Warrior: Contracts,1,6,11/22/2019,3,1,15,,
170,SOMA,1,8,9/22/2015,4,1,12,,
171,South Park: The Fractured But Whole,4,27,10/17/2017,,1,25,58,
172,Spec Ops The Line,1,24,6/26/2012,4,1,10,,
173,Star Wars: Jedi Fallen Order,1,27,11/15/2019,6,1,40,59,
174,Star Wars: Squadron,1,21,10/2/2020,6,4,,59,80
175,Starcraft 2: Wings of Liberty,1,18,7/27/2010,2,1,20,60,
176,Stardew Valley,1,11,2/26/2016,4,4,,,100
177,Stasis: Bone Totem,1,16,5/31/2023,3,1,20,,
178,Statis,1,16,5/12/2015,4,1,10,,
179,Stellaris,1,1,5/9/2016,4,1,,,
180,Street Fighter V Championship Edition,4,5,2/14/2020,,7,,61,
181,Subnautica,1,20,12/16/2014,3,1,30,,
182,System Shock 2,1,8,8/11/1999,4,1,20,62,
183,Tales from the Borderlands,1,6,11/24/2014,3,1,12,6,
184,The Division,1,6,3/8/2016,9,1,30,64,
185,The Elder Scrolls III Morrowind,1,27,6/1/2002,4,1,150,65,
186,The Escapists 2,1,20,8/22/2017,3,3,,66,
187,The Evil Within,1,8,10/14/2014,3,1,18,67,
188,The Evil Within 2,1,8,10/13/2017,4,1,20,67,
189,The Forgotten City,4,14,7/23/2021,,1,8,,
190,The Gunk,1,2,12/16/2021,4,1,6,,
191,The Last of Us Part II,4,2,6/19/2020,,1,30,68,
192,The Last of Us Remastered,4,2,7/29/2014,,1,16,68,
193,The Legend of Zelda: Breath of the Wild,3,10,3/3/2017,,1,80,69,
194,The Long Dark,1,23,8/1/2017,3,1,30,,
195,The Stanley Parable,1,16,10/17/2013,3,1,3,,
196,The Vanishing of Ethan Carter,1,26,9/25/2014,4,1,10,,
197,The Walking Dead,1,14,4/24/2012,8,2,10,63,65
198,The Witcher 2: Assassin of Kings Enhanced Edition,1,27,4/16/2012,4,2,25,70,80
199,The Witcher 3: GOTY Edition,1,27,5/30/2016,4,2,100,70,85
200,The Witcher: Enhanced Edition,1,27,5/29/2008,4,2,40,70,90
201,This War of Mine: Complete Edition,1,14,11/14/2014,4,1,18,,
202,Titanfall 2,1,6,10/28/2016,8,2,11,71,85
203,Tomb Raider,1,2,3/5/2013,8,2,20,72,95
204,Tormented Souls,1,8,10/26/2021,8,1,15,,
